"","koi_period","koi_impact","koi_duration","koi_duration_err2","koi_depth","koi_depth_err2","koi_teq","koi_steff","koi_steff_err2","koi_slogg_err2","ra","dec","koi_kepmag"
"koi_period",1,-0.0343556420293931,0.333993628311613,-0.357092602318595,-0.0464710671773509,-0.0102059256640249,-0.348160515141334,0.0114447042187537,0.0100278664921433,-0.00811416621471886,-0.0505036870916421,0.017957770769116,-0.0213771156818912
"koi_impact",-0.0343556420293931,1,0.0592639323173167,0.0288593721330534,0.0225217678152237,-0.0630343963068104,0.0506594453083489,0.0819156673519392,-0.117965942990741,-0.119575486547989,0.0674978850019829,-0.0252695857235167,0.0240312390383832
"koi_duration",0.333993628311613,0.0592639323173167,1,-0.390746124013716,0.0897378186516321,-0.0532290785229159,-0.186636400528608,0.09812666222198,-0.0559436245611678,-0.0696406751040736,0.0434280978568836,-0.0308931580691585,-0.0951557429285416
"koi_duration_err2",-0.357092602318595,0.0288593721330534,-0.390746124013716,1,0.149777828637709,0.0381837646577896,0.0821957364131324,-0.0432660511191495,0.0623979909570911,0.0596911064861885,-0.0229712484170323,0.00949831275550382,0.0280948138723875
"koi_depth",-0.0464710671773509,0.0225217678152237,0.0897378186516321,0.149777828637709,1,-0.360104730561734,0.0628837194884453,0.145614247228201,-0.165712421532616,-0.095617148775992,0.018598501970727,-0.0126946760192567,0.00380730907040052
"koi_depth_err2",-0.0102059256640249,-0.0630343963068104,-0.0532290785229159,0.0381837646577896,-0.360104730561734,1,-0.0129971537479412,-0.030398807480982,0.0974953816639578,0.0294972423608586,0.00357645430804675,0.022050625640905,-0.0728392640798539
"koi_teq",-0.348160515141334,0.0506594453083489,-0.186636400528608,0.0821957364131324,0.0628837194884453,-0.0129971537479412,1,0.284850917601985,-0.259156075875488,-0.119448477783863,0.13059409048017,-0.0658588239683236,-0.290342248688975
"koi_steff",0.0114447042187537,0.0819156673519392,0.09812666222198,-0.0432660511191495,0.145614247228201,-0.030398807480982,0.284850917601985,1,-0.592624835737159,-0.443596340919787,0.110276481170203,-0.0238604095517557,-0.332601640110284
"koi_steff_err2",0.0100278664921433,-0.117965942990741,-0.0559436245611678,0.0623979909570911,-0.165712421532616,0.0974953816639578,-0.259156075875488,-0.592624835737159,1,0.440489498640844,-0.140281705092839,0.0140244545411622,0.0559897706772098
"koi_slogg_err2",-0.00811416621471886,-0.119575486547989,-0.0696406751040736,0.0596911064861885,-0.095617148775992,0.0294972423608586,-0.119448477783863,-0.443596340919787,0.440489498640844,1,-0.114686319490872,-0.00219920468425538,-0.0752948020690339
"ra",-0.0505036870916421,0.0674978850019829,0.0434280978568836,-0.0229712484170323,0.018598501970727,0.00357645430804675,0.13059409048017,0.110276481170203,-0.140281705092839,-0.114686319490872,1,-0.0143731232365461,0.00354689460331305
"dec",0.017957770769116,-0.0252695857235167,-0.0308931580691585,0.00949831275550382,-0.0126946760192567,0.022050625640905,-0.0658588239683236,-0.0238604095517557,0.0140244545411622,-0.00219920468425538,-0.0143731232365461,1,0.0116906320963671
"koi_kepmag",-0.0213771156818912,0.0240312390383832,-0.0951557429285416,0.0280948138723875,0.00380730907040052,-0.0728392640798539,-0.290342248688975,-0.332601640110284,0.0559897706772098,-0.0752948020690339,0.00354689460331305,0.0116906320963671,1
